solr_admin,core=core1 deleted_docs=102815i,max_docs=7620303i,num_docs=7517488i,size_in_bytes=1784635686i
solr_admin,core=main deleted_docs=619275i,max_docs=169562700i,num_docs=168943425i,size_in_bytes=247497521642i
solr_cache,core=core1,handler=documentCache cumulative_evictions=40344i,cumulative_hitratio=0.12,cumulative_hits=22584i,cumulative_inserts=157851i,cumulative_lookups=180435i,evictions=0i,hitratio=0,hits=0i,inserts=0i,lookups=0i,size=0i,warmup_time=0i
solr_cache,core=core1,handler=fieldValueCache cumulative_evictions=0i,cumulative_hitratio=0.63,cumulative_hits=5432i,cumulative_inserts=1437i,cumulative_lookups=8529i,evictions=0i,hitratio=0.6,hits=3i,inserts=1i,lookups=5i,size=1i,warmup_time=0i
solr_cache,core=core1,handler=filterCache cumulative_evictions=0i,cumulative_hitratio=1,cumulative_hits=4041i,cumulative_inserts=2828i,cumulative_lookups=4041i,evictions=0i,hitratio=1,hits=2i,inserts=2i,lookups=2i,size=2i,warmup_time=0i
solr_cache,core=core1,handler=queryResultCache cumulative_evictions=0i,cumulative_hitratio=0.51,cumulative_hits=5509i,cumulative_inserts=5626i,cumulative_lookups=10630i,evictions=0i,hitratio=0.5,hits=2i,inserts=2i,lookups=4i,size=2i,warmup_time=0i
solr_cache,core=main,handler=documentCache cumulative_evictions=40344i,cumulative_hitratio=0.12,cumulative_hits=22584i,cumulative_inserts=157851i,cumulative_lookups=180435i,evictions=0i,hitratio=0,hits=0i,inserts=0i,lookups=0i,size=0i,warmup_time=0i
solr_cache,core=main,handler=fieldValueCache cumulative_evictions=0i,cumulative_hitratio=0.63,cumulative_hits=5432i,cumulative_inserts=1437i,cumulative_lookups=8529i,evictions=0i,hitratio=0.6,hits=3i,inserts=1i,lookups=5i,size=1i,warmup_time=0i
solr_cache,core=main,handler=filterCache cumulative_evictions=0i,cumulative_hitratio=1,cumulative_hits=4041i,cumulative_inserts=2828i,cumulative_lookups=4041i,evictions=0i,hitratio=1,hits=2i,inserts=2i,lookups=2i,size=2i,warmup_time=0i
solr_cache,core=main,handler=queryResultCache cumulative_evictions=0i,cumulative_hitratio=0.51,cumulative_hits=5509i,cumulative_inserts=5626i,cumulative_lookups=10630i,evictions=0i,hitratio=0.5,hits=2i,inserts=2i,lookups=4i,size=2i,warmup_time=0i
solr_core,core=core1,handler=core deleted_docs=0i,max_docs=0i,num_docs=0i
