ElementID,Name,Abstract Data Type,Data Type Semantics,Status,Description,Units,Range,References,Requester,Revision,Date
0,Reserved,,,,,,,,[RFC5102],,2013-02-18
1,octetDeltaCount,unsigned64,deltaCounter,current,"The number of octets since the previous report (if any)
in incoming packets for this Flow at the Observation Point.
The number of octets includes IP header(s) and IP payload.",octets,,,[RFC5102],0,2013-02-18
2,packetDeltaCount,unsigned64,deltaCounter,current,"The number of incoming packets since the previous report
(if any) for this Flow at the Observation Point.",packets,,,[RFC5102],0,2013-02-18
3,deltaFlowCount,unsigned64,deltaCounter,current,"The conservative count of Original Flows contributing
to this Aggregated Flow; may be distributed via any of the methods
expressed by the valueDistributionMethod Information Element.",flows,,,[RFC7015],1,2013-06-25
4,protocolIdentifier,unsigned8,identifier,current,"The value of the protocol number in the IP packet header.
The protocol number identifies the IP packet payload type.
Protocol numbers are defined in the IANA Protocol Numbers
registry.

            
            
              
In Internet Protocol version 4 (IPv4), this is carried in the
Protocol field.  In Internet Protocol version 6 (IPv6), this
is carried in the Next Header field in the last extension
header of the packet.",,,"See [RFC791] for the specification of the IPv4
protocol field.
See [RFC8200] for the specification of the
IPv6 protocol field.
See the list of protocol numbers assigned by IANA at [IANA registry protocol-numbers].",[RFC5102],0,2013-02-18
5,ipClassOfService,unsigned8,identifier,current,"For IPv4 packets, this is the value of the TOS field in
the IPv4 packet header.  For IPv6 packets, this is the
value of the Traffic Class field in the IPv6 packet header.",,,"See [RFC1812] (Section 5.3.2) and [RFC791] for the definition of the IPv4 TOS field.
See [RFC8200] for the definition of the IPv6
Traffic Class field.",[RFC5102],0,2013-02-18
6,tcpControlBits,unsigned16,flags,current,"TCP control bits observed for the packets of this Flow.
This information is encoded as a bit field; for each TCP control
bit, there is a bit in this set.  The bit is set to 1 if any
observed packet of this Flow has the corresponding TCP control bit
set to 1.  The bit is cleared to 0 otherwise.

            
            
              
The values of each bit are shown below, per the definition of the
bits in the TCP header [RFC793][RFC3168]:

            
            
 MSb                                                         LSb
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
+---+---+---+---+---+---+---+---+---+---+---+---+---+---+---+---+
|               |           | N | C | E | U | A | P | R | S | F |
|     Zero      |   Future  | S | W | C | R | C | S | S | Y | I |
| (Data Offset) |    Use    |   | R | E | G | K | H | T | N | N |
+---+---+---+---+---+---+---+---+---+---+---+---+---+---+---+---+

bit    flag
value  name  description
------+-----+-------------------------------------
0x8000       Zero (see tcpHeaderLength)
0x4000       Zero (see tcpHeaderLength)
0x2000       Zero (see tcpHeaderLength)
0x1000       Zero (see tcpHeaderLength)
0x0800       Future Use
0x0400       Future Use
0x0200       Future Use
0x0100   NS  ECN Nonce Sum
0x0080  CWR  Congestion Window Reduced
0x0040  ECE  ECN Echo
0x0020  URG  Urgent Pointer field significant
0x0010  ACK  Acknowledgment field significant
0x0008  PSH  Push Function
0x0004  RST  Reset the connection
0x0002  SYN  Synchronize sequence numbers
0x0001  FIN  No more data from sender

            
              
As the most significant 4 bits of octets 12 and 13 (counting from
zero) of the TCP header [RFC793] are used to encode the TCP data
offset (header length), the corresponding bits in this Information
Element MUST be exported as zero and MUST be ignored by the
collector.  Use the tcpHeaderLength Information Element to encode
this value.

            
            
              
Each of the 3 bits (0x800, 0x400, and 0x200), which are reserved
for future use in [RFC793], SHOULD be exported as observed in the
TCP headers of the packets of this Flow.

            
            
              
If exported as a single octet with reduced-size encoding, this
Information Element covers the low-order octet of this field (i.e,
bits 0x80 to 0x01), omitting the ECN Nonce Sum and the three
Future Use bits.  A collector receiving this Information Element
with reduced-size encoding must not assume anything about the
content of these four bits.

            
            
              
Exporting Processes exporting this Information Element on behalf
of a Metering Process that is not capable of observing any of the
ECN Nonce Sum or Future Use bits SHOULD use reduced-size encoding,
and only export the least significant 8 bits of this Information
Element.

            
            
              
Note that previous revisions of this Information Element's
definition specified that the CWR and ECE bits must be exported as
zero, even if observed.  Collectors should therefore not assume
that a value of zero for these bits in this Information Element
indicates the bits were never set in the observed traffic,
especially if these bits are zero in every Flow Record sent by a
given exporter.",,,[RFC793][RFC3168],[RFC7125],1,2014-01-03
7,sourceTransportPort,unsigned16,identifier,current,"The source port identifier in the transport header.
For the transport protocols UDP, TCP, and SCTP, this is the
source port number given in the respective header.  This
field MAY also be used for future transport protocols that
have 16-bit source port identifiers.",,,"See [RFC768] for the definition of the UDP
source port field.
See [RFC793] for the definition of the TCP
source port field.
See [RFC4960] for the definition of SCTP.

            
            
              
Additional information on defined UDP and TCP port numbers can be
found at [IANA registry service-names-port-numbers].",[RFC5102],0,2013-02-18
8,sourceIPv4Address,ipv4Address,default,current,The IPv4 source address in the IP packet header.,,,"See [RFC791] for the definition of the IPv4
source address field.",[RFC5102],1,2014-02-03
9,sourceIPv4PrefixLength,unsigned8,,current,"The number of contiguous bits that are relevant in the
sourceIPv4Prefix Information Element.",bits,0-32,,[RFC5102],0,2013-02-18
